_id,Name,League,Location,Year Founded,Conference,2019-2020 Wins,2019-2020 Losses,2019-2020 PCT,2019-2020 Conference Rank,Coach,Number of Championships,Roster
5f7d297b72e02a5950f11608,Sun,WNBA,Connecticut,1999,East,10,12,0.455,7,Curt Miller,0,['Rachel Banham (Position: G)'; 'Natisha Hiedeman (Position: G)'; 'Jasmine Thomas (Position: G)'; 'Courtney Williams (Position: G)'; 'Layshia Clarendon (Position: G)'; 'Alyssa Thomas (Position: F)'; 'Bria Holmes (Position: G)'; 'Morgan Tuck (Position: F)'; 'Jonquel Jones (Position: F-C)'; 'Shekinna Stricklen (Position: G-F)'; 'Brionna Jones (Position: F)'; 'Theresa Plaisance (Position: F-C)']
5f7d297b72e02a5950f1160a,Fever,WNBA,Indiana,2000,East,6,16,0.273,11,Marianne Stanley,1,['Kelsey Mitchell (Position: G)'; 'Tiffany Mitchell (Position: G)'; 'Candice Dupree (Position: F)'; 'Paris Kea (Position: G)'; 'Natalie Achonwa (Position: F-C)'; 'Teaira McCowan (Position: C)'; 'Erica Wheeler (Position: G)'; 'Erica McCall (Position: F)'; 'Stephanie Mavunga (Position: F)'; 'Kennedy Burke (Position: G)'; 'Victoria Vivians (Position: G)'; 'Shenise Johnson (Position: G)'; 'Betnijah Laney (Position: G)']
5f7d297b72e02a5950f11610,Storm,WNBA,Seattle,2000,West,18,4,0.818,2,Dan Hughes,3,['Crystal Langhorne (Position: F-C)'; 'Mercedes Russell (Position: C)'; 'Courtney Paris (Position: C)'; 'Natasha Howard (Position: F)'; 'Sue Bird (Position: G)'; 'Shavonte Zellous (Position: G)'; 'Blake Dietrick (Position: G)'; 'Jordin Canada (Position: G)'; 'Kaleena Mosqueda-Lewis (Position: F)'; 'Jewell Loyd (Position: G)'; 'Breanna Stewart (Position: F)'; 'Alysha Clark (Position: F)'; 'Sami Whitcomb (Position: G-F)']
5f7d297b72e02a5950f1160b,Aces,WNBA,Las Vegas,1997,West,18,4,0.818,1,Bill Laimbeer,0,"['Jackie Young (Position: G)'; 'Tamera Young (Position: F)'; 'Carolyn Swords (Position: C)'; 'Dearica Hamby (Position: F)'; 'Liz Cambage (Position: C)'; 'Kelsey Plum (Position: G)'; 'Epiphanny Prince (Position: G)'; 'Sugar Rodgers (Position: G)'; 'JiSu Park (Position: C)'; 'Kayla McBride (Position: G)'; ""A'ja Wilson (Position: F)""; 'Sydney Colson (Position: G)']"
5f7d297b72e02a5950f11609,Wings,WNBA,Dallas,1998,West,8,14,0.364,9,Brian Agler,3,['Brooke McCarty-Williams (Position: G)'; 'Tayler Hill (Position: G)'; 'Kaela Davis (Position: F-G)'; 'Moriah Jefferson (Position: G)'; 'Skylar Diggins-Smith (Position: G)'; 'Kayla Thornton (Position: F)'; 'Megan Gustafson (Position: F)'; 'Allisha Gray (Position: G)'; 'Isabelle Harrison (Position: F)'; 'Arike Ogunbowale (Position: G)'; 'Glory Johnson (Position: F)'; 'Azurá Stevens (Position: F-C)'; 'Kristine Anigwe (Position: F-C)'; 'Imani McGee-Stafford (Position: C)'; 'Karlie Samuelson (Position: G)']
5f7d297b72e02a5950f11607,Sky,WNBA,Chicago,2006,East,12,10,0.545,6,James Wade,0,['Diamond DeShields (Position: G)'; 'Kahleah Copper (Position: G-F)'; 'Jantel Lavender (Position: F-C)'; 'Allie Quigley (Position: G)'; 'Gabby Williams (Position: F)'; 'Jamierra Faulkner (Position: G)'; 'Courtney Vandersloot (Position: G)'; 'Stefanie Dolson (Position: C)'; 'Cheyenne Parker (Position: F)'; 'Katie Lou Samuelson (Position: G-F)'; 'Kayla Alexander (Position: C)'; 'Astou Ndour (Position: C)']
5f7d297b72e02a5950f11611,Mystics,WNBA,Washington,1998,East,9,13,0.409,8,Mike Thibault,1,['Myisha Hines-Allen (Position: F)'; 'Kiara Leslie (Position: G)'; 'Kim Mestdagh (Position: G)'; 'Ariel Atkins (Position: G)'; 'Natasha Cloud (Position: G)'; 'Elena Delle Donne (Position: F-G)'; 'Kristi Toliver (Position: G)'; 'Tianna Hawkins (Position: F)'; 'Aerial Powers (Position: F)'; 'LaToya Sanders (Position: F-C)'; 'Shatori Walker-Kimbrough (Position: G)'; 'Emma Meesseman (Position: F)']
5f7d297b72e02a5950f1160c,Sparks,WNBA,Los Angeles,1997,West,15,7,0.682,3,Derek Fisher,2,['Alana Beard (Position: G-F)'; 'Alexis Jones (Position: G)'; 'Riquna Williams (Position: G)'; 'Candace Parker (Position: F-C)'; 'Marina Mabrey (Position: G)'; 'Maria Vadeeva (Position: F-C)'; 'Tierra Ruffin-Pratt (Position: G-F)'; 'Chelsea Gray (Position: G)'; 'Chiney Ogwumike (Position: F-C)'; 'Kalani Brown (Position: C)'; 'Sydney Wiese (Position: G)'; 'Nneka Ogwumike (Position: F)']
5f7d297b72e02a5950f1160e,Liberty,WNBA,New York,1997,East,2,20,0.091,12,Walt Hopkins,0,['Nayo Raincock-Ekunwe (Position: F-C)'; 'Kia Nurse (Position: G)'; 'Rebecca Allen (Position: G)'; 'Reshanda Gray (Position: F)'; 'Bria Hartley (Position: G)'; 'Brittany Boyd (Position: G)'; 'Amanda Zahui B (Position: C)'; 'Han Xu (Position: C)'; 'Marine Johannes (Position: G)'; 'Asia Durr (Position: G)'; 'Tanisha Wright (Position: G)'; 'Tina Charles (Position: C)']
5f7d297b72e02a5950f11606,Dream,WNBA,Atlanta,2008,East,7,15,0.318,10,Nicki Collen,0,['Elizabeth Williams (Position: C-F)'; 'Maite Cazorla (Position: G)'; 'Brittney Sykes (Position: G)'; 'Nia Coffey (Position: F)'; 'Tiffany Hayes (Position: G)'; 'Alex Bentley (Position: G)'; 'Renee Montgomery (Position: G)'; 'Marie Gülich (Position: C)'; 'Monique Billings (Position: F)'; 'Angel McCoughtry (Position: F-G)'; 'Jessica Breland (Position: F)'; 'Alaina Coates (Position: C)']
5f7d297b72e02a5950f1160f,Mercury,WNBA,Phoenix,1997,West,13,9,0.591,5,Sandy Brondello,3,['Diana Taurasi (Position: G)'; 'Leilani Mitchell (Position: G)'; 'Yvonne Turner (Position: G)'; 'Sophie Cunningham (Position: G)'; 'Alanna Smith (Position: F)'; 'Briann January (Position: G)'; 'Essence Carson (Position: G)'; 'Camille Little (Position: F)'; 'Brianna Turner (Position: F)'; 'DeWanna Bonner (Position: F)'; 'Sancho Lyttle (Position: F)'; 'Brittney Griner (Position: C)']
5f7d297b72e02a5950f1160d,Lynx,WNBA,Minnesota,1999,West,14,8,0.636,4,Cheryl Reeve,4,['Karima Christmas-Kelly (Position: F)'; 'Odyssey Sims (Position: G)'; 'Danielle Robinson (Position: G)'; 'Lexie Brown (Position: G)'; 'Stephanie Talbot (Position: F)'; 'Jessica Shepard (Position: F)'; 'Temi Fagbenle (Position: C)'; 'Bridget Carleton (Position: G-F)'; 'Maya Moore (Position: F)'; 'Napheesa Collier (Position: F)'; 'Seimone Augustus (Position: G)'; 'Sylvia Fowles (Position: C)'; 'Damiris Dantas (Position: F)']
